ID,Nama_Lokasi,Kategori,Data_Availability,Overall_Decision,Needs_Agent_Followup,Agent_Next_Action,Status_Operasional,Final_Decision_Status,Confidence_Status,Ready_For_AI_Agent_Status,Sumber_Status,Catatan_Status,Revision_Note_Status,Parkir,Toilet,Mushola,Kursi_Roda,Pet_Friendly,Fasilitas_Utama,Status_Fasilitas,Evidence_Status_Fasilitas,Final_Action_Fasilitas,Catatan_Fasilitas,Revision_Note_Fasilitas,Source_Dataset,Generated_Date
LOC-001,23 Paskal Shopping Center,Tempat Belanja,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,✓,✗,"Area Parkir, Toilet, Mushola, Akses/Kursi Roda",lengkap,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,Kursi roda gratis pinjam di info center. Toilet ramah disabilitas. Mushola lantai 2 & basement.,Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-002,Alam Wisata Cimahi,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Restoran, Kolam Renang, Outbound, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Restoran, Kolam Renang, Outbound, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-005,Amazing Artgames,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Spot Foto 3D, Wahana Permainan, Cafe",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Spot Foto 3D, Wahana Permainan, Cafe. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-006,Bandung Carnival Land,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Wahana Permainan, Food Court, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Wahana Permainan, Food Court, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-007,Bandung Indah Plaza,Tempat Belanja,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,✓,✗,"Area Parkir, Toilet, Mushola, Akses/Kursi Roda",lengkap,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,Mall besar; umumnya semua fasilitas tersedia. Pet friendly tidak umum di mall.,Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-008,Bandung Science Center,Tempat Belajar,status_operasional_43_only,EXCLUDE_FROM_ACTIVE_DATASET,NO,Jangan masukkan ke dataset aktif. Simpan hanya sebagai audit/excluded record.,✗ Tutup Permanen,exclude_closed,High,NO,"User correction, 2026-05-26",Dikoreksi oleh user: Bandung Science Center sudah tutup permanen. Jangan dipakai sebagai destinasi aktif.,Status diubah dari belum pasti menjadi tutup permanen.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-010,Braga Citywalk,Tempat Belanja,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Area outdoor semi-terbuka, parkir tersedia. Kursi roda & pet friendly belum terkonfirmasi.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-017,Cihampelas Walk,Tempat Belanja,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"catatanmuslim.com, review Google Maps",Aktif. Mall populer di Bandung. Kursi roda & stroller gratis pinjam. Banyak tenant & hiburan.,Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,✓,?,"Area Parkir, Toilet, Mushola, Akses/Kursi Roda",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,Kursi roda & stroller gratis pinjam di info center Lt GF & Lt 1.,Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-018,Cimahi Mall,Tempat Belanja,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,✗,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Mall standar; parkir, toilet, mushola tersedia. Kursi roda & pet friendly belum terkonfirmasi.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-023,Curug Malela,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"Perhutani.co.id Agu 2024, bangbara.com Sep 2025",Aktif dan berkembang. Tiket 2024 naik jadi Rp10.000–12.000. Pemkab BBarat siapkan Rp12 miliar renovasi 2025.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-027,Dago Dreampark,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Area berbukit, shuttle bus tersedia. Akses kursi roda terbatas karena kontur.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-029,Dusun Bambu,Rekreasi Keluarga,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"pikiran-rakyat.com, hiacetransport.com Jun 2025","Aktif setiap hari 09:30–17:30. Tiket Rp90.000 dewasa, Rp50.000 anak. Ramah difabel, fasilitas lengkap.",Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,✓,?,"Area Parkir, Toilet, Mushola, Akses/Kursi Roda",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Ramah difabel: ramp, toilet khusus, kursi roda tersedia, antrian lebih lebar.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-030,Farm House Susu Lembang,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Wisata populer Lembang. Parkir, toilet, mushola ada. Kursi roda & pet friendly belum terkonfirmasi.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-031,Floating Market Lembang,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,✓,?,"Area Parkir, Toilet, Mushola, Akses/Kursi Roda",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Fasilitas lengkap: parkir luas, mushola, toilet bersih, stroller & kursi roda tersedia.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-038,Gn. Tangkuban Parahu,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,?,✗,?,"Area Parkir, Toilet",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir di sepanjang kawah. Toilet tersebar. Mushola tidak disebutkan. Medan berat, kurang ramah kursi roda.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"explorer.id, goersapp.com","Aktif. Dibuka 18 Nov 2022. Luas 7,5 ha. Tema negeri dongeng + taman bunga, wahana air, foodcourt.",Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,?,?,"Area Parkir Luas, Toilet, Mushola, Spot Foto Bunga, Wahana Permainan, Food Court, Penyewaan Skuter",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir Luas, Toilet, Mushola, Spot Foto Bunga, Wahana Permainan, Food Court, Penyewaan Skuter. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-054,Lembang Wonderland,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Spot Foto Instagramable, Food Court, Wahana Bermain Anak",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Spot Foto Instagramable, Food Court, Wahana Bermain Anak. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-064,Nimo Highland,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Cafe, Spot Foto (Jembatan Kaca), Penyewaan ATV, Shuttle Gratis",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Cafe, Spot Foto (Jembatan Kaca), Penyewaan ATV, Shuttle Gratis. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-066,Pandiga Educreation Sports,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Kolam Renang, Lapangan Olahraga, Cafe/Kantin",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Kolam Renang, Lapangan Olahraga, Cafe/Kantin. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-067,Paris Van Java,Tempat Belanja,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir 2000 kendaraan. Toilet & mushola ada. Review: ""toilet & mushola unik"". Kursi roda belum terkonfirmasi.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-068,Pasar Cimindi,Tempat Belanja,status_operasional_43 + fasilitas_54,READY_WITH_STATUS_AND_FACILITY,NO,Data sudah bisa dipakai. Simpan sumber/catatan lama.,✓ Aktif,include_active,Medium,YES,Karakteristik pasar tradisional Bandung,Pasar tradisional aktif. Tidak ada data penutupan. Pasar tradisional umumnya beroperasi setiap hari.,Data awal dipertahankan dari tabel sebelumnya.,✓,?,?,✗,✗,Area Parkir,sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,Pasar tradisional; parkir terbatas di badan jalan. Fasilitas lain sangat minim.,Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"nativeindonesia.com, sumedangtandang.com","Aktif buka 24 jam nonstop. Tiket Rp10.000. Di Desa Cilangkap, Buahdua, Sumedang (bukan Bandung kota).",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-074,RM Sangu Liwet Ibu Ika,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Area Makan Lesehan, Taman Bermain Anak",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Area Makan Lesehan, Taman Bermain Anak. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-097,Taman Lembah Dewata,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Spot Foto, Berkuda, Perahu Danau, Cafe",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Spot Foto, Berkuda, Perahu Danau, Cafe. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-102,Terminal Wisata Grafika Cikole,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir 24 bus. 16 toilet di restoran. Mushola ada. Kawasan berbukit, kursi roda terbatas.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-104,The Kings Shopping Centre,Tempat Belanja,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,✗,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Mall; parkir, toilet, mushola tersedia. Kursi roda belum terkonfirmasi.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-105,The Lodge Maribaya,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,✗,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir luas, toilet, mushola ada. Banyak tangga → tidak cocok kursi roda (review konfirmasi).",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-106,The Nice Park Bandung,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Mini Zoo, Playground, Food Court",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Mini Zoo, Playground, Food Court. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
