ID,Nama_Lokasi,Kategori,Data_Availability,Overall_Decision,Needs_Agent_Followup,Agent_Next_Action,Status_Operasional,Final_Decision_Status,Confidence_Status,Ready_For_AI_Agent_Status,Sumber_Status,Catatan_Status,Revision_Note_Status,Parkir,Toilet,Mushola,Kursi_Roda,Pet_Friendly,Fasilitas_Utama,Status_Fasilitas,Evidence_Status_Fasilitas,Final_Action_Fasilitas,Catatan_Fasilitas,Revision_Note_Fasilitas,Source_Dataset,Generated_Date
LOC-169,Dago Bakery Punclut,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Restoran Berkonsep Kastil, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Restoran Berkonsep Kastil, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-171,D'Dieuland,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Playground, Spot Foto, Restoran",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Playground, Spot Foto, Restoran. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-172,Sudut Pandang Bandung,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Cafe di Lembang kawasan Lereng Anteng. Parkir, toilet, mushola tersedia.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-173,Cakrawala Nature Sparkling Restaurant,Tempat Kuliner,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"nagantour.com, berbagai review",Aktif. Restoran di bukit dengan view Bandung. Menyajikan western & masakan Bandung. Populer untuk sunset.,Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Restoran Unik berkonsep Galaksi/Kaca, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Restoran Unik berkonsep Galaksi/Kaca, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-174,Lereng Anteng Panoramic Coffee,Tempat Kuliner,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir luas, toilet bersih, mushola ada. Cafe di lereng berundak, kursi roda tidak cocok.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"wisatasutra.wordpress.com, sebandung.com Feb 2024","Berganti nama jadi Wisata Ilmu Sutera Bandung (wisatasutera.com). Buka setiap hari, sesi 09:00–11:00 dan 12:00–14:30. Wajib reservasi.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-177,Wahoo Waterworld,Wahana Air,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,✓,✗,"Area Parkir, Toilet, Mushola, Akses/Kursi Roda",lengkap,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,,Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-178,De Ranch Lembang,Wisata Satwa,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,↔ Ganti nama,include_renamed,High,YES,airial.travel (TikTok review Des 2024),"Berganti nama menjadi Delandden Lembang, soft opening Desember 2024. Masih di lokasi yang sama Jl. Maribaya No.17. Tetap buka, konsep lebih luas.","Tetap dipakai, tetapi nama/alias harus dinormalisasi.",,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-179,Mini Mania Lembang,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Taman Miniatur Dunia, Spot Foto, Toko Oleh-oleh, Wahana Edukasi",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Taman Miniatur Dunia, Spot Foto, Toko Oleh-oleh, Wahana Edukasi. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-180,Cimory Dairyland Lembang,Wisata Satwa,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"cimorydairyland.com, detik.com Mar 2024, kumparan Jul 2024",Aktif. Beroperasi sebagai Minimania Lembang (brand Cimory). Jl. Raya Lembang No.165. Buka 09:00–18:00 setiap hari.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-181,Noah's Park Lembang,Rekreasi Keluarga,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"goersapp.com Mei 2025, nagantour.com Apr 2025","Aktif. Buka setiap hari 09:00–17:00 (weekend 08:00). Di Jl. Sukanegara No.20, Pagerwangi, Lembang. Wahana gravity sport.",Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Luge Kart, ATV, Cafe, Spot Foto",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Luge Kart, ATV, Cafe, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-182,Pine Forest Camp Lembang,Tempat Camping,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"pineforestcamp.web.id, hargatiket.net Feb 2025","Aktif. Buka setiap hari 08:00–18:00. Pindah lokasi sejak Jan 2016 ke Kp. Cipanengah, Suntenjaya Maribaya.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-186,Indiana Camp Lembang,Tempat Camping,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"Wanderlog, TripAdvisor","Aktif. Di Gunung Masigit, Cipatat, Bandung Barat. Spot foto batu kapur, horse riding, camping, rock climbing.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-187,Curug Layung,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"salsawisata.com, travelspromo.com Nov 2025","Aktif buka 24 jam. Tiket Rp10.000 (kunjungan), Rp20.000 (camping). Hutan pinus 10 ha di kaki Tangkuban Parahu.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-190,Curug Anom,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"User correction, 2026-05-26","Dikoreksi oleh user: Curug Anom masih buka. Jika dipakai untuk publikasi final, simpan bukti Maps/review terbaru.",Status diubah dari belum pasti menjadi aktif berdasarkan koreksi user.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-192,Curug Ngebul Gununghalu,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"Trip.com 2025, inewsbandungraya.id","Aktif, dikelola swadaya warga. Tiket ~Rp10.000. Akses menantang via motor trail / jalan kaki >1 jam dari Kp. Cisitu.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-193,Sanghyang Poek,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"travelspromo.com, nabarentcar.com","Aktif sebagai gua di kawasan Sanghyang Heuleut. Terhimpit tebing tinggi, accessible sebagai bagian wisata alam Saguling.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"Detik Travel, visitkbb.bandungbaratkab.go.id","Aktif. Tiket Rp10.000, parkir Rp5.000–20.000. Sewa pelampung Rp15.000. Akses jalan berbatu, perlu jalan kaki ~1 km.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-196,Curug Walanda Citatah,Wisata Alam,status_operasional_43_only,PENDING_STATUS_VERIFICATION,YES,Verifikasi status operasional terbaru via Google Maps/review terbaru/sumber lokal sebelum dimasukkan.,? Perlu Verifikasi Ringan,needs_manual_check,Medium-Low,NO,https://infobandungbarat.com/curug-walanda-citatah-air-terjun-unik-dari-terowongan-belanda-di-bandung-barat/ ; https://kumparan.com/seputar-bandung/curug-walanda-air-terjun-dengan-keasrian-yang-indah-22OrpD9Ho2h,"Belum ada koreksi eksplisit dari user. Web quick check menemukan artikel 2024/2025 yang menyebut Curug Walanda Citatah di Desa Citatah, Cipatat, Bandung Barat, tetapi bukti operasional terbaru belum sekuat Google Maps/review terbaru.",Masih satu-satunya status yang perlu dicek jika standar harus berbasis bukti operasional terbaru.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-198,Tebing Gunung Hawu,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,High,YES,"User correction / Google Maps review note, 2026-05-26",Dikoreksi oleh user: Tebing Gunung Hawu masih buka; review terakhir disebut 4 hari lalu.,Status diubah dari belum pasti menjadi aktif; bukti review terbaru membuat confidence lebih kuat.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-201,Curug Batu Templek,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"User correction, 2026-05-26","Dikoreksi oleh user: Curug Batu Templek masih buka. Jika akan dipakai untuk data final publik, agent tetap boleh menambahkan evidence_url.",Status diubah dari belum pasti menjadi aktif berdasarkan koreksi user.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-213,Taman Cibeunying,Taman Kota,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"kumparan.com Mar 2024, Traveloka 2025","Taman kota publik aktif. Buka setiap hari 09:00–17:00 (ada yang menyebut buka hingga malam). Gratis, ada gazebo, wifi, bike share.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-215,Taman Pramuka Bandung,Taman Kota,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,Taman kota Bandung umum — perlu konfirmasi spesifik,Taman kota publik. Kemungkinan aktif sebagai ruang terbuka hijau (taman kota Bandung umumnya terbuka). Perlu konfirmasi status fasilitas.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-216,Panama Park 825,Rekreasi Keluarga,fasilitas_54_only,FACILITY_READY_STATUS_NOT_IN_43_BATCH,OPTIONAL,Fasilitas tersedia sebagai data awal. Verifikasi status operasional jika lokasi ini juga akan dipakai di data aktif.,,,,,,,,✓,✓,✓,?,?,"Area Parkir, Toilet, Mushola, Indoor Playground (Snow Park/Joy n Fun), Food Court, Loker",terisi_sebagian_dari_ringkasan_agent,ringkasan_agent_belum_url_per_baris,ready_sebagai_data_awal_fasilitas_umum,"Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Indoor Playground (Snow Park/Joy n Fun), Food Court, Loker. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.","Sebelumnya kosong total, kini fasilitas utama sudah terisi.",fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-217,Karang Setra Waterland,Wahana Air,status_operasional_43 + fasilitas_54,READY_AS_INITIAL_DATA_WITH_OPTIONAL_FACILITY_CHECK,OPTIONAL,"Boleh dipakai sebagai data awal. Lengkapi evidence_url, akses kursi roda, atau pet friendly jika dibutuhkan.",✓ Aktif,include_active,Medium,YES,"nagantour.com, detik.com","Aktif. Kolam renang legendaris sejak 1958. Tiket weekday Rp45.000, weekend Rp50.000. Buka setiap hari.",Data awal dipertahankan dari tabel sebelumnya.,✓,✓,✓,?,✗,"Area Parkir, Toilet, Mushola",sebagian,mengikuti_catatan_lama,review_sumber_lama_jika_perlu,"Parkir luas, kamar ganti, gazebo, mushola, food court. Kursi roda belum terkonfirmasi.",Data dari tabel fasilitas sebelumnya dipertahankan.,fixed_status_operasional_master_43_2026-05-26.csv | fixed_fasilitas_destinasi_54_2026-05-26.csv,2026-05-26
LOC-219,Museum Inggit Garnasih,Tempat Belajar,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"tempo.co Jan 2025, koranmandala.com Mar 2025","Aktif. Buka Senin–Jumat 08:00–16:00. Di Jl. Ibu Inggit Garnasih No.8, Astanaanyar, Bandung. Cagar budaya Pemprov Jabar.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-222,Nuansa Riung Gunung,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"c-rafting.com, lemon8 review 2025",Aktif. Glamping di Pangalengan. Disebut dalam berbagai paket rafting & wisata alam Pangalengan 2025.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-224,Sungai Palayangan Rafting,Wisata Petualangan,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"detik.com Jul 2024, ciwideyoutbound.com, bellvaadventure Mei 2025","Aktif dan sangat populer. Tiket Rp125.000–150.000/orang. Banyak operator aktif. Rute 4,5–5 km grade III–IV.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-225,Curug Ceret Pangalengan,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,palayanganriver.com,Aktif. Curug kecil (~5m) di pinggir jalan Pangalengan. Air ciprat membasahi jalan. View pelangi saat matahari bersinar.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-226,Gunung Nini Pangalengan,Wisata Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"visitpangalengan.com, liputan6.com Okt 2024",Aktif. Gratis. Buka setiap hari 07:00–17:00 (bahkan 24 jam untuk camping). Di tengah Perkebunan Teh Malabar.,Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,status_operasional_43_only,READY_STATUS_ONLY_NEEDS_FACILITY_IF_REQUIRED,OPTIONAL,Status operasional tersedia. Cari fasilitas hanya jika dataset membutuhkan kolom fasilitas.,✓ Aktif,include_active,Medium,YES,"travelspromo.com, tempo.co","Aktif (sama dengan kawasan Kebun Teh Rancabali PTPN). Bebas tiket, akses terbuka di pinggir jalan Rancabali.",Data awal dipertahankan dari tabel sebelumnya.,,,,,,,,,,,,fixed_status_operasional_master_43_2026-05-26.csv,2026-05-26
