priority,impact_score,task_type,location_id,location_name,category,issue_codes,fields_to_complete,what_to_check,reviewer_decision,evidence_url,latest_review_seen,reviewer_note,review_status,decision_options,verification_search_url,fields_remaining_count
P0,103,active_status_verification,LOC-215,Taman Pramuka Bandung,Taman Kota,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Taman+Pramuka+Bandung+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-217,Karang Setra Waterland,Wahana Air,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Karang+Setra+Waterland+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-219,Museum Inggit Garnasih,Tempat Belajar,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Museum+Inggit+Garnasih+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-222,Nuansa Riung Gunung,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Nuansa+Riung+Gunung+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-224,Sungai Palayangan Rafting,Wisata Petualangan,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Sungai+Palayangan+Rafting+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-225,Curug Ceret Pangalengan,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Ceret+Pangalengan+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Perkebunan+Teh+Rancabali+Bandung+Jawa+Barat,1
P1,92,coordinate_verification,LOC-023,Curug Malela,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Malela+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Jans+Park+%28Jatinangor+National+Park%29+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Pemandian+Cipanas+Cileungsing+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-116,Wisata Kampoeng Ciherang,Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Wisata+Kampoeng+Ciherang+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-138,Kebun Teh Sukawana,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Kebun+Teh+Sukawana+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-155,Curug Panganten,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Panganten+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-158,Situ Ninah (Situ Datar),Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Situ+Ninah+%28Situ+Datar%29+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-162,Rumah Putih Cukul,Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Rumah+Putih+Cukul+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-166,Muara Rahong Hills,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Muara+Rahong+Hills+Bandung+Jawa+Barat,3
P1,90,media_completion,LOC-120,Rumah Guguk,Wisata Satwa,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Rumah+Guguk+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Punclut+Bandung+%28Puncak+Ciumbuleuit%29+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-148,Pesona Nirwana Waterpark,Wahana Air,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Pesona+Nirwana+Waterpark+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-177,Wahoo Waterworld,Wahana Air,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Wahoo+Waterworld+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-178,De'Ranch Lembang,Wisata Satwa,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=De%27Ranch+Lembang+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-181,Noah's Park Lembang,Rekreasi Keluarga,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Noah%27s+Park+Lembang+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-182,Pine Forest Camp Lembang,Tempat Camping,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Pine+Forest+Camp+Lembang+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-183,Imah Seniman Lembang,Penginapan Wisata,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Imah+Seniman+Lembang+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-186,Indiana Camp Lembang,Tempat Camping,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Indiana+Camp+Lembang+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-187,Curug Layung,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Layung+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-193,Sanghyang Poek,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Sanghyang+Poek+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Sungai+Cikahuripan+Green+Canyon+Saguling+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Walanda+Citatah+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-198,Tebing Gunung Hawu,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Tebing+Gunung+Hawu+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-201,Curug Batu Templek,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Batu+Templek+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-215,Taman Pramuka Bandung,Taman Kota,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Taman+Pramuka+Bandung+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-219,Museum Inggit Garnasih,Tempat Belajar,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Museum+Inggit+Garnasih+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-222,Nuansa Riung Gunung,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Nuansa+Riung+Gunung+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-225,Curug Ceret Pangalengan,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Ceret+Pangalengan+Bandung+Jawa+Barat,5
P1,90,media_completion,LOC-226,Gunung Nini Pangalengan,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,Belum diambil. Cek foto resmi/Google Maps; isi photo_url atau tandai no_media_found bila tidak ada media valid.,pending_manual_verification,media_filled | no_media_found | uncertain,https://www.google.com/maps/search/?api=1&query=Gunung+Nini+Pangalengan+Bandung+Jawa+Barat,5
P1,88,rating_sentiment_completion,LOC-068,Pasar Cimindi,Tempat Belanja,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,"Belum diambil dari sumber aktual. Cek rating rata-rata, jumlah/ulasan terbaru, dan tulis low confidence bila review minim.",pending_manual_verification,rating_filled | low_confidence | uncertain,https://www.google.com/maps/search/?api=1&query=Pasar+Cimindi+Bandung+Jawa+Barat,4
P1,88,rating_sentiment_completion,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,"Belum diambil dari sumber aktual. Cek rating rata-rata, jumlah/ulasan terbaru, dan tulis low confidence bila review minim.",pending_manual_verification,rating_filled | low_confidence | uncertain,https://www.google.com/maps/search/?api=1&query=Punclut+Bandung+%28Puncak+Ciumbuleuit%29+Bandung+Jawa+Barat,4
